id,artist_name
5dIfqbpVpaZCWRYd4LuMuw,Imagine Dragons
6BcfjFHYqfIfxGVKBHTCDa,Nightstalker
22KCwCBKLtC2DLYrrWcWWL,18 Carat Affair
00uY48px8hzqVkeJPdY5ax,Headfuck
1iyfBNCqZPY6rrlwZlB5TS,Shy Girls
2yHowQ2y8xnSZk3R8vrLaW,sleep at night
7hU22Yugpd1gKl7mY0rTJS,Sleep Fruits
4klKsgyVXOKwzBpxojNVyW,Pulling Teeth
5mOMcaRWBDMyvP5FWnaJo1,Of Mice & Men
2cmUK02qEkMRb76ptau61b,AI
6KvrhWpmvGEhq3BmqDZ4no,Morgan Wallen
5btgXxWGEJThygasIrFwNg,Lazaretto
2otr8unXaKEhFUquQ4Lv8I,Jack White
4AxnwDsuPBrgXTBqenWTiB,coordinate
33mcPMqHjhGGoS7ryynmay,Travis Scott
6fxzo73tsRdeUeKADrAZmf,Rocket Ship
4Siofc56HND5v7lChtF6wk,Future
7pLz70NOohuB5AopTn5xaD,Trap (feat. Lil Baby)
5FC02TqooA6IpVfGApgfl2,SAINt JHN
5xhCsIOF55xtex3WJkSaOO,Drip Too Hard (Lil Baby & Gunna)
0fqaoia0cv8p94JLkTsTj9,Lil Baby
7MCs283jdifycrZoMPPynX,Snow Globe (feat. NAV) - Remix
0O3TAouZE4vL9dM5SyxgvH,88GLAM
3p8iG863bPsafyReUXaqXO,1000
0QNL0LFEePJ4xRRWUnMCI5,$uicideboy$
765PjNKQQuXJO4CWAKWewQ,Henny
25yup6WYnPoITrfzhkBLmt,Mike Sherm
3UYn4qdsgnQlbOgYiVIyYJ,Droptop in the Rain (feat. Tory Lanez)
5e8DUgWO5Zt96FN66VTyoo,Ty Dolla $ign
0rBMP6VVGRgwnzZCLpijyl,Flexin
0WIi0VGvdXOAXGXtyTnH5Q,Pop Smoke
4svrshpdIytbEI2RSt0ctO,HOOD
0AJL9bG5n2SdyRPxh8fNjt,Gorilla Zoe
7D70tiORAMJrUXVGf4OyPI,For My Bros
7Mvse8gvgglfvYha56MzK5,J Neat
